unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655430577383,1,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655481479523,2,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655531956573,3,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655582278035,4,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655633209911,5,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655683910402,6,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655734141082,7,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655784862780,8,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655835839388,9,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655886576404,10,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655937629491,11,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655988321788,12,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656039345042,13,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656090175418,14,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656141020819,15,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656191741166,16,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656242195721,17,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656292817500,18,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656343708778,19,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656394679004,20,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656445209376,21,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656495261586,22,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656545973425,23,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656595981312,24,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656646935934,25,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656696984341,26,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656747018125,27,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656797673899,28,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656847775011,29,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656898677840,30,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656949413428,31,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657000367728,32,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657050953800,33,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657101041874,34,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657151048592,35,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657201820106,36,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657252766835,37,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657303772587,38,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657354350321,39,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657404747545,40,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657455246105,41,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657506279804,42,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657557267052,43,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657607891542,44,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657658938890,45,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657709581249,46,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657759722074,47,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657810622870,48,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657861458622,49,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657912393672,50,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790657962428339,51,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658013179320,52,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658064019291,53,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658114066147,54,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658164629301,55,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658214983150,56,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658265632448,57,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658315694181,58,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658366549595,59,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658417140944,60,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658467444408,61,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658518106111,62,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658568165193,63,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658619029698,64,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658669166523,65,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658719999651,66,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658770441062,67,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658820594192,68,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658871015850,69,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658921260310,70,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790658971339512,71,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659021977732,72,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659072131200,73,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659123234599,74,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659173742809,75,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659223797777,76,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659274582561,77,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659324600530,78,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659375327647,79,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659426237500,80,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659477267273,81,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659528261090,82,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659579140918,83,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659629968633,84,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659680824134,85,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659731386195,86,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659782435568,87,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659833371849,88,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659883442962,89,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659933498056,90,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790659984232370,91,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660035006206,92,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660085021962,93,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660135027782,94,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660185102334,95,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660235630129,96,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660286684212,97,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660337455903,98,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660388394422,99,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660438540259,100,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660489348027,101,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660539845157,102,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660589878786,103,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660639942687,104,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660690091513,105,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660740667422,106,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790660790729717,107,m13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
