unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m26,-0.0076699042692780495,-0.07324219064983399,-0.0625,0.07324219064983399,0.0625,0.001330249011516571,51,50,0
1782790655430577383,1,m26,0.00920388475060463,0.08789062522241059,-0.0625,0.08789062522241059,0.0625,0.0013542174128815532,51,50,0
1782790655481479523,2,m26,0.004601942375302315,0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.0013542174128815532,51,50,0
1782790655531956573,3,m26,0.0,0.0,-0.0625,0.0,0.0625,0.0013542174128815532,51,50,0
1782790655582278035,4,m26,0.012271846644580364,0.11718750326103929,-0.0625,0.11718750326103929,0.0625,0.0013542174128815532,51,50,0
1782790655633209911,5,m26,-0.015339808538556099,-0.14648438129966798,-0.0625,0.14648438129966798,0.0625,0.0013542174128815532,51,50,0
1782790655683910402,6,m26,0.003067961661145091,0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.0013781859306618571,51,50,0
1782790655734141082,7,m26,-0.0015339808305725455,-0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.0013542174128815532,51,50,0
1782790655784862780,8,m26,-0.0015339808305725455,-0.01464843790762991,0.0,0.01464843790762991,0.0,0.0013542174128815532,51,50,0
1782790655835839388,9,m26,0.0,0.0,-0.0625,0.0,0.0625,0.0013542174128815532,51,50,0
1782790655886576404,10,m26,0.0015339808305725455,0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.0013542174128815532,51,50,0
1782790655937629491,11,m26,0.004601942375302315,0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.0013542174128815532,51,50,0
1782790655988321788,12,m26,-0.004601942375302315,-0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.0013542174128815532,51,50,0
1782790656039345042,13,m26,-0.0076699042692780495,-0.07324219064983399,-0.0625,0.07324219064983399,0.0625,0.0013662016717717052,51,50,0
1782790656090175418,14,m26,-0.006135923322290182,-0.05859375163051964,-0.0625,0.05859375163051964,0.0625,0.001330249011516571,51,50,0
1782790656141020819,15,m26,-0.0015339808305725455,-0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.001342233270406723,51,50,0
1782790656191741166,16,m26,0.0076699042692780495,0.07324219064983399,-0.0625,0.07324219064983399,0.0625,0.0013542174128815532,51,50,0
1782790656242195721,17,m26,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.0013662016717717052,51,50,0
1782790656292817500,18,m26,-0.00920388475060463,-0.08789062522241059,0.0,0.08789062522241059,0.0,0.001342233270406723,51,50,0
1782790656343708778,19,m26,0.0015339808305725455,0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.0013662016717717052,51,50,0
1782790656394679004,20,m26,-0.015339808538556099,-0.14648438129966798,-0.0625,0.14648438129966798,0.0625,0.0013542174128815532,51,50,0
1782790656445209376,21,m26,-0.00920388475060463,-0.08789062522241059,-0.0625,0.08789062522241059,0.0625,0.0013542174128815532,51,50,0
1782790656495261586,22,m26,-0.004601942375302315,-0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.001342233270406723,51,50,0
1782790656545973425,23,m26,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.0013662016717717052,51,50,0
1782790656595981312,24,m26,-0.006135923322290182,-0.05859375163051964,-0.0625,0.05859375163051964,0.0625,0.001330249011516571,51,50,0
1782790656646935934,25,m26,0.0015339808305725455,0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.0013542174128815532,51,50,0
1782790656696984341,26,m26,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.001342233270406723,51,50,0
1782790656747018125,27,m26,0.0015339808305725455,0.01464843790762991,-0.0625,0.01464843790762991,0.0625,0.0013542174128815532,51,50,0
1782790656797673899,28,m26,-0.004601942375302315,-0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.001330249011516571,51,50,0
1782790656847775011,29,m26,-0.00920388475060463,-0.08789062522241059,-0.0625,0.08789062522241059,0.0625,0.0013542174128815532,51,50,0
1782790656898677840,30,m26,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.001330249011516571,51,50,0
1782790656949413428,31,m26,-0.01840776950120926,-0.17578125044482118,-0.0625,0.17578125044482118,0.0625,0.001342233270406723,51,50,0
1782790657000367728,32,m26,-0.004601942375302315,-0.043945312611205295,-0.0625,0.043945312611205295,0.0625,0.001330249011516571,51,50,0
1782790657050953800,33,m26,0.003067961661145091,0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.001342233270406723,51,50,0
1782790657101041874,34,m26,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,0.001330249011516571,51,50,0
