unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655430577383,1,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655481479523,2,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655531956573,3,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655582278035,4,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655633209911,5,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655683910402,6,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655734141082,7,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655784862780,8,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655835839388,9,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655886576404,10,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655937629491,11,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790655988321788,12,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656039345042,13,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656090175418,14,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656141020819,15,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656191741166,16,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656242195721,17,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656292817500,18,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656343708778,19,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656394679004,20,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656445209376,21,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656495261586,22,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656545973425,23,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656595981312,24,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656646935934,25,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656696984341,26,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656747018125,27,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1782790656797673899,28,m14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
