unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m03,-0.0010908308904618025,-0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,0.6319233775138855,40,39,0
1782790655430577383,1,m03,0.00872664712369442,0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,0.6319063305854797,40,39,0
1782790655481479523,2,m03,-0.011999139562249184,-0.11458334245088873,-0.263671875,0.11458334245088873,0.263671875,0.6319063305854797,40,39,0
1782790655531956573,3,m03,-0.007635816000401974,-0.07291667166024961,-0.17578125,0.07291667166024961,0.17578125,0.6319063305854797,40,39,0
1782790655582278035,4,m03,-0.015271632000803947,-0.14583334332049921,-0.17578125,0.14583334332049921,0.17578125,0.6319063305854797,40,39,0
1782790655633209911,5,m03,-0.021816616877913475,-0.20833334505972018,-0.17578125,0.20833334505972018,0.17578125,0.6318978071212769,40,39,0
1782790655683910402,6,m03,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,0.6319063305854797,40,39,0
1782790655734141082,7,m03,0.011999139562249184,0.11458334245088873,-0.17578125,0.11458334245088873,0.17578125,0.6319233775138855,40,39,0
1782790655784862780,8,m03,0.0,0.0,-0.17578125,0.0,0.17578125,0.6319148540496826,40,39,0
1782790655835839388,9,m03,0.0,0.0,-0.17578125,0.0,0.17578125,0.6319063305854797,40,39,0
1782790655886576404,10,m03,-0.00436332356184721,-0.041666670790639126,-0.17578125,0.041666670790639126,0.17578125,0.6319233775138855,40,39,0
1782790655937629491,11,m03,0.002181661780923605,0.020833335395319563,-0.17578125,0.020833335395319563,0.17578125,0.6319233775138855,40,39,0
1782790655988321788,12,m03,-0.011999139562249184,-0.11458334245088873,-0.263671875,0.11458334245088873,0.263671875,0.6319063305854797,40,39,0
1782790656039345042,13,m03,-0.005454154219478369,-0.052083336264930044,-0.263671875,0.052083336264930044,0.263671875,0.6319063305854797,40,39,0
1782790656090175418,14,m03,0.0,0.0,-0.17578125,0.0,0.17578125,0.6319148540496826,40,39,0
1782790656141020819,15,m03,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,0.6319148540496826,40,39,0
1782790656191741166,16,m03,0.0,0.0,-0.17578125,0.0,0.17578125,0.6319063305854797,40,39,0
1782790656242195721,17,m03,-0.002181661780923605,-0.020833335395319563,-0.263671875,0.020833335395319563,0.263671875,0.6319148540496826,40,39,0
1782790656292817500,18,m03,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,0.6319063305854797,40,39,0
1782790656343708778,19,m03,-0.0010908308904618025,-0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,0.6319063305854797,40,39,0
1782790656394679004,20,m03,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,0.6319148540496826,40,39,0
1782790656445209376,21,m03,0.011999139562249184,0.11458334245088873,-0.263671875,0.11458334245088873,0.263671875,0.6319148540496826,40,39,0
1782790656495261586,22,m03,-0.0010908308904618025,-0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,0.6319063305854797,40,39,0
1782790656545973425,23,m03,-0.011999139562249184,-0.11458334245088873,-0.17578125,0.11458334245088873,0.17578125,0.6319148540496826,40,39,0
1782790656595981312,24,m03,-0.005454154219478369,-0.052083336264930044,-0.263671875,0.052083336264930044,0.263671875,0.6319063305854797,40,39,0
1782790656646935934,25,m03,0.015271632000803947,0.14583334332049921,-0.263671875,0.14583334332049921,0.263671875,0.6319148540496826,40,39,0
1782790656696984341,26,m03,0.01745329424738884,0.1666666831625565,-0.17578125,0.1666666831625565,0.17578125,0.6319148540496826,40,39,0
1782790656747018125,27,m03,0.011999139562249184,0.11458334245088873,-0.17578125,0.11458334245088873,0.17578125,0.6319233775138855,40,39,0
1782790656797673899,28,m03,0.01745329424738884,0.1666666831625565,-0.17578125,0.1666666831625565,0.17578125,0.6319233775138855,40,39,0
1782790656847775011,29,m03,0.006544985342770815,0.06250000618595869,-0.263671875,0.06250000618595869,0.263671875,0.6319319009780884,40,39,0
1782790656898677840,30,m03,-0.005454154219478369,-0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,0.6319233775138855,40,39,0
