unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790668789040697,265,m17,0.013805828057229519,0.13183594672709137,0.1875,0.13183594672709137,0.1875,-0.05424060299992561,48,47,0
1782790668839955012,266,m17,0.07976700365543365,0.7617187756434931,0.25,0.7617187756434931,0.25,-0.053114086389541626,48,47,0
1782790668890838000,267,m17,0.22856314480304718,2.1826172582420167,0.1875,2.1826172582420167,0.1875,-0.04816460236907005,48,47,0
1782790668941596271,268,m17,-0.02147573232650757,-0.20507813737692537,0.0625,0.20507813737692537,0.0625,-0.03501790761947632,48,47,0
1782790668991799009,269,m17,0.01840776950120926,0.17578125044482118,0.125,0.17578125044482118,0.125,-0.03435877338051796,48,47,0
1782790669042555165,270,m17,0.061359234154224396,0.5859375251986719,0.1875,0.5859375251986719,0.1875,-0.03299257159233093,48,47,0
1782790669093682085,271,m17,0.0,0.0,0.1875,0.0,0.1875,-0.032045818865299225,48,47,0
1782790669144035327,272,m17,0.0076699042692780495,0.07324219064983399,0.25,0.07324219064983399,0.25,-0.0319020077586174,48,47,0
1782790669194158337,273,m17,0.0,0.0,0.3125,0.0,0.3125,-0.0303800106048584,48,47,0
1782790669244238912,274,m17,0.00920388475060463,0.08789062522241059,0.3125,0.08789062522241059,0.3125,-0.03002048470079899,48,47,0
1782790669294904002,275,m17,0.04141748324036598,0.39550783128779865,0.3125,0.39550783128779865,0.3125,-0.027599669992923737,48,47,0
1782790669345871048,276,m17,0.055223312228918076,0.5273437869083655,0.3125,0.5273437869083655,0.3125,-0.024927187711000443,48,47,0
1782790669395980856,277,m17,0.05062136799097061,0.48339845651020924,0.3125,0.48339845651020924,0.3125,-0.023009711876511574,48,47,0
1782790669446743008,278,m17,0.11965050548315048,1.1425781634652397,0.3125,1.1425781634652397,0.3125,-0.019941750913858414,48,47,0
1782790669497585345,279,m17,0.0,0.0,0.3125,0.0,0.3125,-0.019450398162007332,48,47,0
1782790669547736111,280,m17,0.006135923322290182,0.05859375163051964,0.375,0.05859375163051964,0.375,-0.01876729726791382,48,47,0
1782790669598481392,281,m17,0.06289321184158325,0.6005859330908221,0.375,0.6005859330908221,0.375,-0.01823999173939228,48,47,0
1782790669649146360,282,m17,0.05982525274157524,0.5712890817326198,0.375,0.5712890817326198,0.375,-0.01684982143342495,48,47,0
1782790669699888905,283,m17,0.04448544606566429,0.4248047182199028,0.3125,0.4248047182199028,0.3125,-0.01356614287942648,48,47,0
1782790669750988447,284,m17,0.016873789951205254,0.16113282476572008,0.3125,0.16113282476572008,0.3125,-0.012871057726442814,48,47,0
1782790669801202732,285,m17,0.04295146465301514,0.41015627475385075,0.3125,0.41015627475385075,0.3125,-0.012391689233481884,48,47,0
1782790669851673219,286,m17,0.019941750913858414,0.19042969391087328,0.3125,0.19042969391087328,0.3125,-0.011984225362539291,48,47,0
1782790669901681994,287,m17,0.0076699042692780495,0.07324219064983399,0.3125,0.07324219064983399,0.3125,-0.011744541116058826,48,47,0
1782790669951922541,288,m17,0.0,0.0,0.3125,0.0,0.3125,-0.011660651303827763,48,47,0
1782790670002490476,289,m17,0.006135923322290182,0.05859375163051964,0.3125,0.05859375163051964,0.3125,-0.011480887420475483,48,47,0
1782790670053141531,290,m17,0.0076699042692780495,0.07324219064983399,0.3125,0.07324219064983399,0.3125,-0.011277155950665474,48,47,0
