unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m19,0.0,0.0,-0.0625,0.0,0.0625,-0.01678990013897419,47,45,0
1782790655430577383,1,m19,-0.016873789951205254,-0.16113282476572008,-0.0625,0.16113282476572008,0.0625,-0.016801884397864342,47,45,0
1782790655481479523,2,m19,-0.012271846644580364,-0.11718750326103929,-0.0625,0.11718750326103929,0.0625,-0.016801884397864342,47,45,0
1782790655531956573,3,m19,-0.006135923322290182,-0.05859375163051964,-0.0625,0.05859375163051964,0.0625,-0.016813868656754494,47,45,0
1782790655582278035,4,m19,0.01840776950120926,0.17578125044482118,-0.0625,0.17578125044482118,0.0625,-0.016801884397864342,47,45,0
1782790655633209911,5,m19,0.013805828057229519,0.13183594672709137,-0.0625,0.13183594672709137,0.0625,-0.01678990013897419,47,45,0
1782790655683910402,6,m19,-0.004601942375302315,-0.043945312611205295,-0.0625,0.043945312611205295,0.0625,-0.016825852915644646,47,45,0
1782790655734141082,7,m19,-0.012271846644580364,-0.11718750326103929,-0.0625,0.11718750326103929,0.0625,-0.016801884397864342,47,45,0
1782790655784862780,8,m19,0.019941750913858414,0.19042969391087328,0.0,0.19042969391087328,0.0,-0.016801884397864342,47,45,0
1782790655835839388,9,m19,-0.013805828057229519,-0.13183594672709137,-0.0625,0.13183594672709137,0.0625,-0.016801884397864342,47,45,0
1782790655886576404,10,m19,-0.01840776950120926,-0.17578125044482118,-0.0625,0.17578125044482118,0.0625,-0.01678990013897419,47,45,0
1782790655937629491,11,m19,0.004601942375302315,0.043945312611205295,-0.0625,0.043945312611205295,0.0625,-0.01678990013897419,47,45,0
1782790655988321788,12,m19,-0.003067961661145091,-0.02929687581525982,-0.0625,0.02929687581525982,0.0625,-0.016801884397864342,47,45,0
1782790656039345042,13,m19,0.0,0.0,-0.0625,0.0,0.0625,-0.016801884397864342,47,45,0
1782790656090175418,14,m19,0.016873789951205254,0.16113282476572008,-0.0625,0.16113282476572008,0.0625,-0.016801884397864342,47,45,0
1782790656141020819,15,m19,-0.0076699042692780495,-0.07324219064983399,-0.0625,0.07324219064983399,0.0625,-0.016813868656754494,47,45,0
1782790656191741166,16,m19,0.004601942375302315,0.043945312611205295,-0.0625,0.043945312611205295,0.0625,-0.01678990013897419,47,45,0
1782790656242195721,17,m19,-0.013805828057229519,-0.13183594672709137,-0.0625,0.13183594672709137,0.0625,-0.016801884397864342,47,45,0
1782790656292817500,18,m19,0.0,0.0,-0.0625,0.0,0.0625,-0.01678990013897419,47,45,0
