unix_time_ns,sequence,motor,speed_rad_s,speed_rpm,torque_nm,abs_speed_rpm,abs_torque_nm,q_rad,temp_case_c,temp_winding_c,motor_state
1782790655380067889,0,m07,0.0,0.0,-0.17578125,0.0,0.17578125,-0.037931933999061584,41,41,0
1782790655430577383,1,m07,0.01745329424738884,0.1666666831625565,-0.17578125,0.1666666831625565,0.17578125,-0.03791489079594612,41,41,0
1782790655481479523,2,m07,0.01308997068554163,0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.037931933999061584,41,41,0
1782790655531956573,3,m07,-0.002181661780923605,-0.020833335395319563,-0.17578125,0.020833335395319563,0.17578125,-0.037931933999061584,41,41,0
1782790655582278035,4,m07,0.0,0.0,-0.17578125,0.0,0.17578125,-0.037931933999061584,41,41,0
1782790655633209911,5,m07,0.002181661780923605,0.020833335395319563,-0.17578125,0.020833335395319563,0.17578125,-0.037931933999061584,41,41,0
1782790655683910402,6,m07,-0.005454154219478369,-0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,-0.03791489079594612,41,41,0
1782790655734141082,7,m07,-0.0010908308904618025,-0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,-0.037923414260149,41,41,0
1782790655784862780,8,m07,0.014180801808834076,0.13541668229294604,-0.263671875,0.13541668229294604,0.263671875,-0.03791489079594612,41,41,0
1782790655835839388,9,m07,-0.0032724926713854074,-0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037931933999061584,41,41,0
1782790655886576404,10,m07,-0.005454154219478369,-0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,-0.037931933999061584,41,41,0
1782790655937629491,11,m07,-0.01308997068554163,-0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.037940457463264465,41,41,0
1782790655988321788,12,m07,0.0,0.0,-0.17578125,0.0,0.17578125,-0.03789784759283066,41,41,0
1782790656039345042,13,m07,0.0010908308904618025,0.010416667697659782,-0.263671875,0.010416667697659782,0.263671875,-0.03790637105703354,41,41,0
1782790656090175418,14,m07,0.01308997068554163,0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.037931933999061584,41,41,0
1782790656141020819,15,m07,-0.006544985342770815,-0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.037931933999061584,41,41,0
1782790656191741166,16,m07,0.014180801808834076,0.13541668229294604,-0.17578125,0.13541668229294604,0.17578125,-0.037931933999061584,41,41,0
1782790656242195721,17,m07,0.005454154219478369,0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,-0.037931933999061584,41,41,0
1782790656292817500,18,m07,0.01308997068554163,0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.03791489079594612,41,41,0
1782790656343708778,19,m07,0.006544985342770815,0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.037923414260149,41,41,0
1782790656394679004,20,m07,-0.01308997068554163,-0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.037931933999061584,41,41,0
1782790656445209376,21,m07,0.009817477315664291,0.09375000260883143,-0.17578125,0.09375000260883143,0.17578125,-0.03791489079594612,41,41,0
1782790656495261586,22,m07,-0.015271632000803947,-0.14583334332049921,-0.263671875,0.14583334332049921,0.263671875,-0.037931933999061584,41,41,0
1782790656545973425,23,m07,-0.006544985342770815,-0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.037931933999061584,41,41,0
1782790656595981312,24,m07,0.021816616877913475,0.20833334505972018,-0.17578125,0.20833334505972018,0.17578125,-0.03790637105703354,41,41,0
1782790656646935934,25,m07,0.00872664712369442,0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,-0.03791489079594612,41,41,0
1782790656696984341,26,m07,0.011999139562249184,0.11458334245088873,-0.17578125,0.11458334245088873,0.17578125,-0.03791489079594612,41,41,0
1782790656747018125,27,m07,-0.002181661780923605,-0.020833335395319563,-0.17578125,0.020833335395319563,0.17578125,-0.03791489079594612,41,41,0
1782790656797673899,28,m07,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,-0.037940457463264465,41,41,0
1782790656847775011,29,m07,-0.009817477315664291,-0.09375000260883143,-0.17578125,0.09375000260883143,0.17578125,-0.037931933999061584,41,41,0
1782790656898677840,30,m07,-0.010908308438956738,-0.10416667252986009,-0.17578125,0.10416667252986009,0.17578125,-0.037931933999061584,41,41,0
1782790656949413428,31,m07,0.014180801808834076,0.13541668229294604,-0.17578125,0.13541668229294604,0.17578125,-0.03791489079594612,41,41,0
1782790657000367728,32,m07,-0.023998279124498367,-0.22916668490177747,-0.17578125,0.22916668490177747,0.17578125,-0.037931933999061584,41,41,0
1782790657050953800,33,m07,-0.020725786685943604,-0.197916684032167,-0.17578125,0.197916684032167,0.17578125,-0.037940457463264465,41,41,0
1782790657101041874,34,m07,-0.00872664712369442,-0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,-0.037931933999061584,41,41,0
1782790657151048592,35,m07,0.0,0.0,-0.17578125,0.0,0.17578125,-0.037931933999061584,41,41,0
1782790657201820106,36,m07,0.002181661780923605,0.020833335395319563,-0.17578125,0.020833335395319563,0.17578125,-0.037923414260149,41,41,0
1782790657252766835,37,m07,-0.0032724926713854074,-0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037940457463264465,41,41,0
1782790657303772587,38,m07,0.0032724926713854074,0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.03791489079594612,41,41,0
1782790657354350321,39,m07,-0.0032724926713854074,-0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037931933999061584,41,41,0
1782790657404747545,40,m07,-0.014180801808834076,-0.13541668229294604,-0.17578125,0.13541668229294604,0.17578125,-0.037940457463264465,41,41,0
1782790657455246105,41,m07,0.002181661780923605,0.020833335395319563,-0.263671875,0.020833335395319563,0.263671875,-0.03791489079594612,41,41,0
1782790657506279804,42,m07,0.023998279124498367,0.22916668490177747,-0.17578125,0.22916668490177747,0.17578125,-0.03790637105703354,41,41,0
1782790657557267052,43,m07,0.00872664712369442,0.08333334158127825,-0.17578125,0.08333334158127825,0.17578125,-0.03791489079594612,41,41,0
1782790657607891542,44,m07,-0.00436332356184721,-0.041666670790639126,-0.17578125,0.041666670790639126,0.17578125,-0.037931933999061584,41,41,0
1782790657658938890,45,m07,0.0010908308904618025,0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,-0.037931933999061584,41,41,0
1782790657709581249,46,m07,0.0032724926713854074,0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.03791489079594612,41,41,0
1782790657759722074,47,m07,-0.0032724926713854074,-0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037931933999061584,41,41,0
1782790657810622870,48,m07,-0.0032724926713854074,-0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037931933999061584,41,41,0
1782790657861458622,49,m07,0.0010908308904618025,0.010416667697659782,-0.17578125,0.010416667697659782,0.17578125,-0.03791489079594612,41,41,0
1782790657912393672,50,m07,0.0,0.0,-0.263671875,0.0,0.263671875,-0.03791489079594612,41,41,0
1782790657962428339,51,m07,0.005454154219478369,0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,-0.03791489079594612,41,41,0
1782790658013179320,52,m07,0.0032724926713854074,0.031250003092979345,-0.17578125,0.031250003092979345,0.17578125,-0.037931933999061584,41,41,0
1782790658064019291,53,m07,-0.007635816000401974,-0.07291667166024961,-0.17578125,0.07291667166024961,0.17578125,-0.037948980927467346,41,41,0
1782790658114066147,54,m07,0.0,0.0,-0.17578125,0.0,0.17578125,-0.037923414260149,41,41,0
1782790658164629301,55,m07,-0.011999139562249184,-0.11458334245088873,-0.17578125,0.11458334245088873,0.17578125,-0.037931933999061584,41,41,0
1782790658214983150,56,m07,-0.006544985342770815,-0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.037931933999061584,41,41,0
1782790658265632448,57,m07,0.007635816000401974,0.07291667166024961,-0.17578125,0.07291667166024961,0.17578125,-0.03791489079594612,41,41,0
1782790658315694181,58,m07,0.006544985342770815,0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.03791489079594612,41,41,0
1782790658366549595,59,m07,-0.010908308438956738,-0.10416667252986009,-0.17578125,0.10416667252986009,0.17578125,-0.037931933999061584,41,41,0
1782790658417140944,60,m07,-0.01308997068554163,-0.12500001237191738,-0.17578125,0.12500001237191738,0.17578125,-0.037931933999061584,41,41,0
1782790658467444408,61,m07,-0.014180801808834076,-0.13541668229294604,-0.17578125,0.13541668229294604,0.17578125,-0.037931933999061584,41,41,0
1782790658518106111,62,m07,-0.019634954631328583,-0.18750000521766286,-0.17578125,0.18750000521766286,0.17578125,-0.037931933999061584,41,41,0
1782790658568165193,63,m07,0.005454154219478369,0.052083336264930044,-0.17578125,0.052083336264930044,0.17578125,-0.03791489079594612,41,41,0
1782790658619029698,64,m07,0.006544985342770815,0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.03789784759283066,41,41,0
1782790658669166523,65,m07,0.006544985342770815,0.06250000618595869,-0.17578125,0.06250000618595869,0.17578125,-0.03790637105703354,41,41,0
1782790658719999651,66,m07,-0.019634954631328583,-0.18750000521766286,-0.17578125,0.18750000521766286,0.17578125,-0.03791489079594612,41,41,0
